vcc	V(vb)	V(vc)
Step Information: Ve=5  (Run: 1/10)
-5.000000000000000e-001	3.709986e-001	-4.570128e-001
Step Information: Ve=500m  (Run: 10/10)
-5.000000000000000e+000	1.079244e-002	-4.999152e+000
-4.500000000000000e+000	1.079248e-002	-4.499155e+000
-4.000000000000000e+000	1.079251e-002	-3.999158e+000
-3.500000000000000e+000	1.079255e-002	-3.499161e+000
-3.000000000000000e+000	1.079259e-002	-2.999163e+000
-2.500000000000000e+000	1.079263e-002	-2.499166e+000
-2.000000000000000e+000	1.079267e-002	-1.999169e+000
-1.500000000000000e+000	1.079271e-002	-1.499172e+000
-1.000000000000000e+000	1.079275e-002	-9.991749e-001
-5.000000000000000e-001	1.079279e-002	-4.991778e-001
