vcc	V(n003)	Ic(Q1)
4.499999999999906e-001	-3.317312e+000	4.502009e-004
4.999999999999906e-001	-3.317302e+000	4.502038e-004
5.499999999999906e-001	-3.317292e+000	4.502066e-004
5.999999999999907e-001	-3.317282e+000	4.502095e-004
6.499999999999907e-001	-3.317272e+000	4.502123e-004
6.999999999999907e-001	-3.317262e+000	4.502151e-004
7.499999999999908e-001	-3.317252e+000	4.502180e-004
7.999999999999908e-001	-3.317242e+000	4.502208e-004
8.499999999999909e-001	-3.317232e+000	4.502237e-004
8.999999999999909e-001	-3.317222e+000	4.502265e-004
9.499999999999910e-001	-3.317213e+000	4.502294e-004
9.999999999999910e-001	-3.317203e+000	4.502322e-004
1.049999999999991e+000	-3.317193e+000	4.502350e-004
1.099999999999991e+000	-3.317183e+000	4.502379e-004
1.149999999999991e+000	-3.317173e+000	4.502407e-004
1.199999999999991e+000	-3.317163e+000	4.502435e-004
1.249999999999991e+000	-3.317153e+000	4.502464e-004
1.299999999999991e+000	-3.317143e+000	4.502492e-004
1.349999999999991e+000	-3.317133e+000	4.502521e-004
1.399999999999991e+000	-3.317123e+000	4.502549e-004
1.449999999999991e+000	-3.317113e+000	4.502577e-004
1.499999999999991e+000	-3.317104e+000	4.502606e-004
1.549999999999991e+000	-3.317094e+000	4.502634e-004
1.599999999999991e+000	-3.317084e+000	4.502662e-004
1.649999999999992e+000	-3.317074e+000	4.502691e-004
1.699999999999992e+000	-3.317064e+000	4.502719e-004
1.749999999999992e+000	-3.317054e+000	4.502748e-004
1.799999999999992e+000	-3.317044e+000	4.502776e-004
1.849999999999992e+000	-3.317034e+000	4.502804e-004
1.899999999999992e+000	-3.317024e+000	4.502833e-004
1.949999999999992e+000	-3.317014e+000	4.502861e-004
1.999999999999992e+000	-3.317005e+000	4.502889e-004
2.049999999999992e+000	-3.316995e+000	4.502918e-004
2.099999999999992e+000	-3.316985e+000	4.502946e-004
2.149999999999992e+000	-3.316975e+000	4.502974e-004
2.199999999999991e+000	-3.316965e+000	4.503003e-004
2.249999999999991e+000	-3.316955e+000	4.503031e-004
2.299999999999991e+000	-3.316945e+000	4.503059e-004
2.349999999999991e+000	-3.316935e+000	4.503088e-004
2.399999999999991e+000	-3.316926e+000	4.503116e-004
2.449999999999990e+000	-3.316916e+000	4.503144e-004
2.499999999999990e+000	-3.316906e+000	4.503173e-004
2.549999999999990e+000	-3.316896e+000	4.503201e-004
2.599999999999990e+000	-3.316886e+000	4.503229e-004
2.649999999999990e+000	-3.316876e+000	4.503258e-004
2.699999999999990e+000	-3.316866e+000	4.503286e-004
